,priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage,OOSLA
1205,2,6,9,130.8333333,125,2,2,0,0,69,11,69,11,1896,281,2,0,0,0.727272727,0.090909091,0.0,0.272727273,0.326608539,0.624078393,1
1206,0,0,2,0.0,103,0,0,0,0,12,4,12,4,369,104,0,0,5,1.8,1.4,0.0,0.0,0.649569035,0.076894395,1
1207,1,0,3,0.0,131,0,0,0,0,2,0,2,0,40,0,0,0,9,0.26666666699999997,0.0,0.0,0.133333333,0.384675741,0.009522969000000001,0
1208,1,2,7,7.0,17,2,2,6,0,82,7,81,7,2657,210,1,1,29,0.533333333,0.066666667,0.066666667,0.8666666670000001,0.034813911,0.188164398,0
1209,1,7,11,47.42857143,90,0,0,0,0,55,20,55,20,1687,607,0,0,0,1.2,0.0,0.133333333,1.266666667,0.099147946,0.09839268,0
1210,1,1,4,19.0,107,31,31,0,0,18,7,18,7,441,171,0,0,0,0.26666666699999997,0.0,0.0,0.333333333,0.03858754,0.03282259,0
1211,0,0,2,0.0,30,1,1,2,15,15,6,15,6,343,130,0,0,0,0.4,0.2,0.0,0.2,0.900703549,0.038975783,1
1212,2,2,7,6.5,230,0,0,0,0,4,2,3,1,130,49,1,1,24,0.409090909,0.0,0.045454545,0.545454545,0.067186713,0.446764559,0
1213,1,0,1,0.0,72,4,4,84,0,18,2,18,2,493,69,0,0,0,0.133333333,0.0,0.0,0.0,0.041325122,0.018543702,0
1214,0,1,1,15.0,79,16,16,0,0,89,43,89,43,2081,1047,1,0,0,1.0,0.2,0.0,0.2,0.858046532,0.409767926,1
1215,1,2,3,12.0,104,1,1,9,77,67,5,67,5,1864,289,1,1,0,0.333333333,0.0,0.133333333,0.8,0.037873507,0.18795535,0
1216,0,7,10,40.57142857,125,0,0,0,90,1,1,1,1,34,34,1,0,0,3.6,0.6,0.4,2.4,0.12800175,0.34192678299999996,0
1217,0,3,6,24.0,378,9,9,19,402,14,8,14,8,483,246,0,0,3,2.8,0.6,0.2,2.0,0.630179465,0.171128064,0
